A Party No,B Party No,Call Date,Duration,IMEI,IMSI,Cell ID,Call Type
9900099001,9811100001,04/03/2026 10:14:00,312,371837645208814,404743503136502,5523-86637,OUT
9811100101,9900099001,04/03/2026 10:24:00,80,351234567890001,404300979251327,2497-99908,OUT
9811100101,9811100102,04/03/2026 10:29:00,41,351234567890001,404005281273585,8187-35292,OUT
9811100102,9900099001,04/03/2026 10:24:00,118,351234567890001,404652407784873,4057-81253,OUT
9811100102,9811100103,04/03/2026 10:27:00,40,351234567890001,404749821827448,7014-69517,OUT
9811100103,9900099001,04/03/2026 10:27:00,100,086209593518638,404294565118102,3926-14099,OUT
9811100201,9811100101,04/03/2026 10:30:00,18,731096789940539,404103717058650,5355-79339,IN
9811100202,9811100102,04/03/2026 10:29:00,38,141381138633839,404288619576122,7579-76151,IN
9818506716,9811116152,03/03/2026 23:23:00,283,351234567890099,404100000000101,8258-56179,OUT
9894406409,9812419049,03/03/2026 10:23:00,221,351234567890099,404100000000102,8054-52395,IN
9823285884,9836713695,03/03/2026 20:23:00,202,351234567890099,404100000000103,5162-57187,OUT
9887429671,9804711671,04/03/2026 09:23:00,27,351234567890099,404100000000104,5660-88087,IN
9877700001,9834309805,01/03/2026 03:23:00,16,351234560000001,404433504888992,2544-14946,OUT
9877700001,9845494808,02/03/2026 17:23:00,151,351234560000001,404459334419693,2264-52558,OUT
9877700001,9844935348,27/02/2026 04:23:00,600,351234560000001,404194096105566,2974-39716,IN
9877700001,9800766177,25/02/2026 15:23:00,401,351234560000001,404048058925832,1827-98294,OUT
9877700001,9887429671,24/02/2026 08:23:00,599,351234560000001,404813646225179,1807-81847,OUT
9877700001,9831727889,03/03/2026 11:23:00,418,351234560000001,404862278376938,9589-42275,IN
9877700001,9848932528,01/03/2026 12:23:00,450,351234560000001,404591166553559,1396-49953,IN
9877700001,9814737996,25/02/2026 19:23:00,462,351234560000001,404927033521103,3419-47707,IN
9877700001,9857262849,24/02/2026 23:23:00,123,351234560000001,404477053833884,9991-73311,IN
9877700002,9847679764,25/02/2026 05:23:00,28,351234560000001,404698042043940,8617-95820,IN
9877700002,9827048281,28/02/2026 05:23:00,287,351234560000001,404510463681579,9709-21537,IN
